location,plot,crop,bag_no,series_no,block,initial_drywt_g,final_drywt_g
wiu,2,pcro,1,1,1,19.7,16.325
wiu,2,pcro,2,2,1,19.7,21.39
wiu,2,pcro,3,3,1,18.4,20.837
wiu,2,pcro,4,4,1,17.7,16.529999999999998
wiu,2,pcro,5,5,1,15.5,15.473
wiu,2,pcro,6,6,1,15.099999999999998,16.072
wiu,2,pcro,7,7,1,13.799999999999997,15.77
wiu,2,pcro,8,8,1,12.7,20.598
wiu,2,pcro,9,9,1,12.099999999999998,19.115
wiu,2,pcro,10,10,1,11.099999999999998,14.598
wiu,3,wpc,11,1,1,6,14.987
wiu,3,wpc,12,2,1,5.5,15.247
wiu,3,wpc,13,3,1,4.399999999999999,15.055
wiu,3,wpc,14,4,1,3,15.51
wiu,3,wpc,15,5,1,2.299999999999997,14.902
wiu,3,wpc,16,6,1,1.5,17.136
wiu,3,wpc,17,7,1,0.29999999999999716,17.665
wiu,3,wpc,18,8,1,-0.6000000000000014,15.068
wiu,3,wpc,19,9,1,-1.8000000000000007,16.936
wiu,3,wpc,20,10,1,-2.5,17.247999999999998
wiu,4,gpc,21,1,1,-0.5,20.626
wiu,4,gpc,22,2,1,0,19.811
wiu,4,gpc,23,3,1,-0.8000000000000007,22.235
wiu,4,gpc,24,4,1,-2.1000000000000014,19.771
wiu,4,gpc,25,5,1,-2.6000000000000014,18.597
wiu,4,gpc,26,6,1,-4.600000000000001,21.318
wiu,4,gpc,27,7,1,-5.200000000000003,19.228
wiu,4,gpc,28,8,1,-5.400000000000002,19.994
wiu,4,gpc,29,9,1,-7.900000000000002,20.794
wiu,4,gpc,30,10,1,-8.8,18.464
wiu,5,cr,31,1,1,-13.400000000000002,17.189
wiu,5,cr,32,2,1,-14.5,13.832
wiu,5,cr,33,3,1,-15.400000000000002,17.535
wiu,5,cr,34,4,1,-16.400000000000002,15.802
wiu,5,cr,35,5,1,-17.3,16.511
wiu,5,cr,36,6,1,-18.700000000000003,13.917
wiu,5,cr,37,7,1,-19.3,17.25
wiu,5,cr,38,8,1,-20.200000000000003,-0.1
wiu,5,cr,39,9,1,-21.200000000000003,15.56
wiu,5,cr,40,10,1,-20.5,15.435
wiu,6,ar,41,1,1,-27,11.71
wiu,6,ar,42,2,1,-27.299999999999997,11.322
wiu,6,ar,43,3,1,-29,13.428
wiu,6,ar,44,4,1,-29.799999999999997,14.388
wiu,6,ar,45,5,1,-30.7,14.267
wiu,6,ar,46,6,1,-31.6,10.291
wiu,6,ar,47,7,1,-31.9,13.984
wiu,6,ar,48,8,1,-33.4,11.135
wiu,6,ar,49,9,1,-33.7,12.256
wiu,6,ar,50,10,1,-34.3,11.312
wiu,7,wpc,51,1,2,-28.5,20.964
wiu,7,wpc,52,2,2,-29.5,22.45
wiu,7,wpc,53,3,2,-30.200000000000003,21.052
wiu,7,wpc,54,4,2,-31,21.105
wiu,7,wpc,55,5,2,-31.900000000000002,22.773
wiu,7,wpc,56,6,2,-33.5,22.805
wiu,7,wpc,57,7,2,-34.3,23.468
wiu,7,wpc,58,8,2,-34.400000000000006,20.465
wiu,7,wpc,59,9,2,-36.6,-0.1
wiu,7,wpc,60,10,2,-36.3,20.773
wiu,8,cr,61,1,2,-43.1,15.672
wiu,8,cr,62,2,2,-44,15.01
wiu,8,cr,63,3,2,-45.1,17.875
wiu,8,cr,64,4,2,-46.2,17.491
wiu,8,cr,65,5,2,-47,17.634
wiu,8,cr,66,6,2,-48,15.001
wiu,8,cr,67,7,2,-49.1,15.046
wiu,8,cr,68,8,2,-50.2,16.895
wiu,8,cr,69,9,2,-52.1,13.559
wiu,8,cr,70,10,2,-52.1,14.897
wiu,9,pcro,71,1,2,-51.1,16.950999999999997
wiu,9,pcro,72,2,2,-52.7,17.221
wiu,9,pcro,73,3,2,-53.7,16.395999999999997
wiu,9,pcro,74,4,2,-55,17.506999999999998
wiu,9,pcro,75,5,2,-55.400000000000006,19.804
wiu,9,pcro,76,6,2,-56.900000000000006,18.202
wiu,9,pcro,77,7,2,-57.1,19.687
wiu,9,pcro,78,8,2,-58.3,14.853
wiu,9,pcro,79,9,2,-57.900000000000006,19.544
wiu,9,pcro,80,10,2,-58.2,21.691
wiu,10,gpc,81,1,2,-57.7,21.496
wiu,10,gpc,82,2,2,-58.900000000000006,20.835
wiu,10,gpc,83,3,2,-60,21.037
wiu,10,gpc,84,4,2,-60.6,22.652
wiu,10,gpc,85,5,2,-62.1,NA
wiu,10,gpc,86,6,2,-62.7,22.913
wiu,10,gpc,87,7,2,-63.7,23.176
wiu,10,gpc,88,8,2,-64.7,51
wiu,10,gpc,89,9,2,-65.9,22.641
wiu,10,gpc,90,10,2,-66.8,19.505
wiu,12,ar,91,1,2,-73.4,14.192
wiu,12,ar,92,2,2,-74,11.914
wiu,12,ar,93,3,2,-74.4,14.22
wiu,12,ar,94,4,2,-75.4,-0.1
wiu,12,ar,95,5,2,-77.1,17.525
wiu,12,ar,96,6,2,-77.6,17.473
wiu,12,ar,97,7,2,-79.3,16.191
wiu,12,ar,98,8,2,-80.3,17.299
