forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c
1,wiu,pcro,1,t4,1,18.3,13.924999999999999,4.4,40.6
2,wiu,pcro,1,t0,2,19.3,18.99,NA,NA
3,wiu,pcro,1,t2,3,19,18.437,5.175,44.3
4,wiu,pcro,1,t7,4,19.3,14.129999999999997,4.04,38.7
5,wiu,pcro,1,t6,5,18.1,13.073,4.86,40.4
6,wiu,pcro,1,t5,6,18.7,13.671999999999999,4.43,38
7,wiu,pcro,1,t8,7,18.4,13.37,4.53,42.8
8,wiu,pcro,1,t1,8,18.3,18.198,4.88,44.7
9,wiu,pcro,1,t3,9,18.7,16.715,5.03,43.7
10,wiu,pcro,1,t9,10,18.7,12.198,4.75,42.3
11,wiu,wpc,1,t9,1,14.6,12.587,2.47,38.9
12,wiu,wpc,1,t5,2,15.1,12.847,3.17,41.7
13,wiu,wpc,1,t7,3,14.999999999999998,12.655,2.59,40.9
14,wiu,wpc,1,t6,4,14.6,13.11,2.47,40.2
15,wiu,wpc,1,t8,5,14.899999999999997,12.502,2.67,39.9
16,wiu,wpc,1,t2,6,15.1,14.735999999999999,2.59,43.3
17,wiu,wpc,1,t1,7,14.899999999999997,15.264999999999999,2.31,42
18,wiu,wpc,1,t4,8,14.999999999999998,12.668,2.83,39.2
19,wiu,wpc,1,t3,9,14.799999999999999,14.536,2.5,38.5
20,wiu,wpc,1,t0,10,15.1,14.847999999999997,NA,NA
21,wiu,gpc,1,t1,1,18.1,18.226,2.2,42.8
22,wiu,gpc,1,t9,2,19.6,17.411,2.48,40
23,wiu,gpc,1,t2,3,19.8,19.835,1.65,42.6
24,wiu,gpc,1,t6,4,19.5,17.371,2.025,41.9
25,wiu,gpc,1,t8,5,20,16.197,2.95,40.8
26,wiu,gpc,1,t3,6,19,18.918,2.2,38.2
27,wiu,gpc,1,t5,7,19.4,16.828,2.55,34.5
28,wiu,gpc,1,t4,8,20.2,17.594,NA,NA
29,wiu,gpc,1,t0,9,18.7,18.394,NA,NA
30,wiu,gpc,1,t7,10,18.8,16.064,2.57,36
31,wiu,cr,1,t2,1,15.199999999999998,14.789,1.44,41.7
32,wiu,cr,1,t8,2,15.1,11.432,1.93,39.7
33,wiu,cr,1,t1,3,15.199999999999998,15.135,1.7,39.5
34,wiu,cr,1,t4,4,15.199999999999998,13.402,1.69,42
35,wiu,cr,1,t3,5,15.299999999999999,14.110999999999999,1.7,40
36,wiu,cr,1,t9,6,14.899999999999997,11.517,2.28,41.4
37,wiu,cr,1,t0,7,15.2,14.75,NA,NA
38,wiu,cr,1,NA,8,15.299999999999997,NA,NA,NA
39,wiu,cr,1,t7,9,15.399999999999997,13.16,1.86,40.3
40,wiu,cr,1,t6,10,17.1,13.035,1.96,34.6
41,wiu,ar,1,t4,1,11.6,9.31,2.77,35.1
42,wiu,ar,1,t8,2,12.3,8.922,2.49,38.6
43,wiu,ar,1,t2,3,11.6,11.028,2.58,39.5
44,wiu,ar,1,t1,4,11.8,11.988,2.69,40.2
45,wiu,ar,1,t0,5,11.9,11.867,2.61,41.3
46,wiu,ar,1,t9,6,12,7.891,2.71,37.7
47,wiu,ar,1,t3,7,12.6,11.484,2.51,39.8
48,wiu,ar,1,t7,8,12.2,8.735,2.6550000000000002,40.2
49,wiu,ar,1,t6,9,12.9,9.856,2.64,36.9
50,wiu,ar,1,t5,10,13.3,8.912,2.55,36
51,wiu,wpc,2,t8,1,20.2,18.663999999999998,2.53,35.9
52,wiu,wpc,2,t2,2,20.1,20.05,2.49,40.2
53,wiu,wpc,2,t4,3,20.4,18.652,2.61,39.7
54,wiu,wpc,2,t6,4,20.6,18.705,2.61,34.7
55,wiu,wpc,2,t0,5,20.7,20.373,NA,NA
56,wiu,wpc,2,t1,6,20.1,20.405,2.58,41.8
57,wiu,wpc,2,t3,7,20.2,20.968,2.07,36.3
58,wiu,wpc,2,t7,8,21.2,18.065,2.37,37.6
59,wiu,wpc,2,NA,9,19.9,NA,2.27,30
60,wiu,wpc,2,t9,10,21.3,18.373,2.29,34.8
61,wiu,cr,2,t4,1,15.499999999999998,13.272,2,41.4
62,wiu,cr,2,t9,2,15.6,12.61,2.51,33
63,wiu,cr,2,t0,3,15.499999999999998,15.475,NA,NA
64,wiu,cr,2,t1,4,15.299999999999997,14.991,1.64,42.3
65,wiu,cr,2,t2,5,15.6,15.234,1.7,42.5
66,wiu,cr,2,t7,6,15.6,12.601,2.02,39.8
67,wiu,cr,2,t5,7,15.499999999999998,12.646,1.84,43.3
68,wiu,cr,2,t3,8,15.399999999999997,14.495,1.98,42
69,wiu,cr,2,t8,9,14.499999999999998,11.159,2.37,40.5
70,wiu,cr,2,t6,10,15.499999999999998,12.497,2.125,41.6
71,wiu,pcro,2,t8,1,17.4,14.450999999999997,2.78,40.7
72,wiu,pcro,2,t5,2,16.799999999999997,14.721,2.79,38.4
73,wiu,pcro,2,t4,3,16.799999999999997,13.895999999999997,3.06,40
74,wiu,pcro,2,t9,4,16.5,15.006999999999998,2.49,30.3
75,wiu,pcro,2,t1,5,17.099999999999998,17.304,2.76,42.3
76,wiu,pcro,2,t7,6,16.7,15.801999999999998,NA,NA
77,wiu,pcro,2,t0,7,17.5,17.287,NA,NA
78,wiu,pcro,2,t6,8,17.3,12.453,3.13,38.5
79,wiu,pcro,2,t3,9,18.7,17.144,2.55,33.2
80,wiu,pcro,2,t2,10,19.4,19.291,2.59,39.7
81,wiu,gpc,2,t5,1,20.9,19.096,1.88,19.7
82,wiu,gpc,2,t4,2,20.7,18.435,2.51,38
83,wiu,gpc,2,t8,3,20.6,18.637,2.3,33.1
84,wiu,gpc,2,t6,4,21,20.252,2.07,30
85,wiu,gpc,2,t9,5,20.5,18.684,2.47,29.6
86,wiu,gpc,2,t1,6,20.9,20.513,2.6,41.7
87,wiu,gpc,2,t0,7,20.9,20.776,NA,NA
88,wiu,gpc,2,t3,8,20.9,20.542,2.53,41.8
89,wiu,gpc,2,t2,9,20.7,20.241,2.37,39.4
90,wiu,gpc,2,t7,10,20.8,17.105,2.71,27.5
91,wiu,ar,2,t5,1,15.199999999999998,11.792,2.62,39.4
92,wiu,ar,2,t6,2,15.5,9.414,2.87,38.3
93,wiu,ar,2,t9,3,16.2,11.82,2.57,35.400000000000006
94,wiu,ar,2,NA,4,16.2,NA,2.59,38.5
95,wiu,ar,2,t0,5,15.499999999999998,15.124999999999998,NA,NA
96,wiu,ar,2,t2,6,15.999999999999998,15.072999999999999,2.48,41
97,wiu,ar,2,t3,7,15.299999999999999,13.790999999999999,2.55,37.9
98,wiu,ar,2,t1,8,15.299999999999999,14.899,2.64,41.7
99,wiu,ar,2,t4,9,14.999999999999998,12.047,2.41,41.1
100,wiu,ar,2,NA,10,14.999999999999998,10.17,2.64,35.7
101,wiu,gpc,3,t2,1,16.5,16.177,2.19,43.4
102,wiu,gpc,3,t7,2,14.999999999999998,14.364999999999997,2.31,32.3
103,wiu,gpc,3,t4,3,15.899999999999997,15.467999999999998,2.34,36.7
104,wiu,gpc,3,t3,4,15.499999999999998,14.658999999999997,2.13,42
105,wiu,gpc,3,t5,5,15.1,13.576,2.06,28.3
106,wiu,gpc,3,t8,6,15.6,14.056999999999997,2.55,37.1
107,wiu,gpc,3,t1,7,15.1,15.204999999999997,2.54,41.4
108,wiu,gpc,3,t9,8,15.399999999999997,12.823,2.61,34.7
109,wiu,gpc,3,t6,9,15.899999999999997,13.238,2.63,42.3
110,wiu,gpc,3,t0,10,15.699999999999998,15.472999999999997,2.43,42.9
111,wiu,wpc,3,t9,1,16.2,14.371999999999998,2.31,44.5
112,wiu,wpc,3,t0,2,14.799999999999999,14.707999999999997,NA,NA
113,wiu,wpc,3,t3,3,15.699999999999998,15.513,2.11,39.2
114,wiu,wpc,3,t4,4,15.899999999999997,13.979999999999999,2.49,42.85
115,wiu,wpc,3,t7,5,14.499999999999998,12.753,2.22,41.7
116,wiu,wpc,3,t7,6,14.999999999999998,11.359,3.07,37.6
117,wiu,wpc,3,t1,7,14.7,14.905999999999999,2.48,43.7
118,wiu,wpc,3,t6,8,14.499999999999998,10.601,3.03,32.5
119,wiu,wpc,3,t2,9,13.999999999999998,13.434,2.95,42.4
120,wiu,wpc,3,t5,10,13.699999999999998,11.514,2.74,38.2
121,wiu,ar,3,t7,1,15.999999999999998,13.412,2.79,29.9
122,wiu,ar,3,t3,2,16.2,15.631999999999998,2.98,36.6
123,wiu,ar,3,NA,3,15.7,NA,NA,NA
124,wiu,ar,3,t2,4,15.999999999999998,16.149,3.08,43.3
125,wiu,ar,3,t1,5,15.499999999999998,15.798999999999998,2.8,43.2
126,wiu,ar,3,t8,6,15.699999999999998,10.42,2.77,32
127,wiu,ar,3,t5,7,15.6,14.052999999999999,2.55,32.5
128,wiu,ar,3,t6,8,15.899999999999997,12.949,2.97,38.6
129,wiu,ar,3,t4,9,15.799999999999999,13.507000000000001,3.09,40.5
130,wiu,ar,3,t0,10,15.699999999999998,13.973999999999998,NA,NA
131,wiu,cr,3,t8,1,15.999999999999998,13.382,1.93,40.5
132,wiu,cr,3,t9,2,15.499999999999998,12.671,2.01,36.2
133,wiu,cr,3,t3,3,15.499999999999998,14.382999999999997,1.85,35.5
134,wiu,cr,3,t7,4,16.2,13.347,2.17,35.4
135,wiu,cr,3,t4,5,15.699999999999998,13.749999999999998,1.95,40.9
136,wiu,cr,3,t0,6,15.899999999999997,15.638,NA,NA
137,wiu,cr,3,t1,7,15.799999999999997,15.314999999999998,1.9,43.5
138,wiu,cr,3,t5,8,15.899999999999997,13.407,1.82,36.5
139,wiu,cr,3,t2,9,15.999999999999998,15.486999999999997,2.25,43
140,wiu,cr,3,t6,10,15.999999999999998,12.805,2.51,34.8
141,wiu,pcro,3,t8,1,20.5,16.324,2.89,33.5
142,wiu,pcro,3,t9,2,19,12.745000000000001,NA,NA
143,wiu,pcro,3,t2,3,19.8,19.309,2.93,42.1
144,wiu,pcro,3,t4,4,19.6,15.652,2.93,37.5
145,wiu,pcro,3,t5,5,19.7,16.113,2.83,32.4
146,wiu,pcro,3,t6,6,19.6,13.784999999999998,3.115,35.6
147,wiu,pcro,3,t1,7,18.299999999999997,18.316,2.88,40
148,wiu,pcro,3,t0,8,19,18.972,NA,NA
149,wiu,pcro,3,t3,9,20,19.225,NA,NA
150,wiu,pcro,3,t7,10,5.699999999999999,4.461,NA,NA
151,wiu,wpc,4,t0,1,19,18.875,NA,NA
152,wiu,wpc,4,t5,2,19.7,18.058999999999997,2.77,35.6
153,wiu,wpc,4,t3,3,18.6,18.584,2.61,42
154,wiu,wpc,4,t9,4,19.5,16.641,3.04,40.8
155,wiu,wpc,4,t2,5,20.299999999999997,20.055999999999997,2.88,42.9
156,wiu,wpc,4,t1,6,20,20.134,3.18,44.3
157,wiu,wpc,4,t6,7,18.9,15.703,3.13,43
158,wiu,wpc,4,t7,8,20.1,17.435,2.83,38.2
159,wiu,wpc,4,t4,9,20.599999999999998,17.746,3.3,42.9
160,wiu,wpc,4,t8,10,20.5,17.104,3.3,35
161,wiu,ar,4,t4,1,17.1,15.275999999999998,2.89,37.2
162,wiu,ar,4,t3,2,19.1,17.211,2.995,39.900000000000006
