tea_id,location,crop,bag_no,block,sample_time,tea_initial_dry_wt_g,tea_final_dry_wt_g,pct_n,pct_c
207,isu,ar,203,1,t0,2.1,2.104,3.78,48.6
203,isu,ar,210,1,t1,2.2,2.008,3.75,48.5
202,isu,ar,207,1,t2,2.1,2.009,NA,NA
204,isu,ar,202,1,t3,2.1,1.576,3.97,47.2
219,isu,ar,209,1,t5,2.1,1.38,4.4,49.5
201,isu,ar,204,1,t7,2.1,1.162,3.6,42.9
526,isu,ar,286,2,t1,NA,2.222,2.93,28.4
210,isu,ar,285,2,t2,2.1,1.95,4.57,47.3
284,isu,ar,282,2,t3,2.3,1.65,3.91,42.6
283,isu,ar,288,2,t5,2.1,1.428,4.225,43.7
289,isu,ar,284,2,t6,2.4,2.317,2.34,22.6
525,isu,ar,289,2,t7,NA,1.398,3.8,36.3
515,isu,ar,317,3,t0,NA,2.085,5.3,49
319,isu,ar,316,3,t1,2.1,2.049,3.92,49
311,isu,ar,314,3,t2,2,1.87,NA,NA
320,isu,ar,319,3,t3,2.1,1.62,4.33,48.5
312,isu,ar,312,3,t4,2.1,1.475,4.53,48.4
316,isu,ar,320,3,t5,2.2,1.419,4.73,48.2
318,isu,ar,311,3,t6,2.2,1.154,4.21,40.8
317,isu,ar,315,3,t7,2.1,1.274,4.75,42.8
314,isu,ar,318,3,t9,2.1,1.18,5.17,46.2
294,isu,ar,391,4,t0,2.4,2.099,3.79,49
297,isu,ar,393,4,t2,2.1,1.802,3.8,49
516,isu,ar,397,4,t3,NA,1.75,3.85,43.9
522,isu,ar,396,4,t4,NA,1.663,3.64,43.2
298,isu,ar,399,4,t5,2,1.416,4.08,40.4
292,isu,ar,398,4,t6,2.1,1.291,4.19,43.4
299,isu,ar,392,4,t7,2.2,1.181,4.65,39.9
517,isu,ar,400,4,t8,NA,1.664,2.7199999999999998,28.1
295,isu,ar,395,4,t9,2.3,1.318,3.86,40.4
236,isu,cr,231,1,t0,2.1,2.023,3.67,48.5
239,isu,cr,237,1,t1,2,1.996,3.78,48.7
231,isu,cr,240,1,t2,2.1,1.965,NA,NA
238,isu,cr,233,1,t4,2.1,1.53,4.29,46.2
232,isu,cr,232,1,t5,2.1,1.249,4.92,45.9
233,isu,cr,238,1,t6,2.1,1.248,4.18,44.1
234,isu,cr,235,1,t7,2,1.162,3.98,43.3
235,isu,cr,239,1,t8,2,1.074,4.4,44.5
240,isu,cr,236,1,t9,2.1,1.258,4.58,46.3
265,isu,cr,270,2,t0,2.1,2.008,3.77,47.5
267,isu,cr,261,2,t1,2.1,2.028,3.44,46.4
224,isu,cr,263,2,t2,2.1,1.941,3.9,48.9
208,isu,cr,269,2,t3,2.2,1.814,4.22,48.5
508,isu,cr,265,2,t4,NA,1.463,4.49,46.1
246,isu,cr,268,2,t5,2.1,1.27,5.01,47.2
261,isu,cr,262,2,t6,2.2,1.285,3.47,32.4
509,isu,cr,266,2,t7,NA,1.049,5.3,48.7
510,isu,cr,264,2,t9,NA,1.345,5.17,49.4
342,isu,cr,349,3,t0,2.1,2.028,NA,NA
348,isu,cr,344,3,t1,2,1.963,NA,NA
349,isu,cr,350,3,t2,2.1,1.979,NA,NA
343,isu,cr,343,3,t3,2.2,1.338,NA,NA
347,isu,cr,342,3,t4,2.1,1.365,NA,NA
341,isu,cr,345,3,t5,2.2,1.195,NA,NA
345,isu,cr,348,3,t6,2.1,1.121,NA,NA
