location,crop.x,bag_no,block.x,sample_time,series_no,tea_id,old_tea_id,tea_final_drywt_g,crop.y,block.y,number,tea_initial_drywt_g,notes,pct_n,pct_c
isu,ar,203,1,t0,3,207,207,2.104,NA,NA,7,2.1,NA,3.78,48.6
isu,ar,210,1,t1,10,203,203,2.008,NA,NA,3,2.2,NA,3.75,48.5
isu,ar,207,1,t2,7,202,202,2.009,NA,NA,2,2.1,NA,NA,NA
isu,ar,202,1,t3,2,204,204,1.576,NA,NA,4,2.1,NA,3.97,47.2
isu,ar,209,1,t5,9,219,210,1.38,NA,NA,9,2.1,NA,4.4,49.5
isu,ar,201,1,t6,1,NA,112,1.217,NA,NA,NA,NA,NA,NA,NA
isu,ar,204,1,t7,4,201,205,1.162,NA,NA,1,2.1,NA,3.6,42.9
isu,ar,208,1,t8,8,NA,206,1.209,NA,NA,NA,NA,NA,NA,NA
isu,ar,205,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,206,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,286,2,t1,6,526,282,2.222,NA,NA,NA,NA,NA,2.93,28.4
isu,ar,285,2,t2,5,210,210,1.95,NA,NA,10,2.1,NA,4.57,47.3
isu,ar,282,2,t3,2,284,288,1.65,NA,NA,NA,2.3,284,3.91,42.6
isu,ar,288,2,t5,8,283,283,1.428,NA,NA,NA,2.1,NA,4.225,43.7
isu,ar,284,2,t6,4,289,289,2.317,NA,NA,NA,2.4,NA,2.34,22.6
isu,ar,289,2,t7,9,525,287,1.398,NA,NA,NA,NA,NA,3.8,36.3
isu,ar,287,2,t9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,281,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,283,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,290,2,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,317,3,t0,7,515,NA,2.085,NA,NA,NA,NA,NA,5.3,49
isu,ar,316,3,t1,6,319,319,2.049,NA,NA,NA,2.1,NA,3.92,49
isu,ar,314,3,t2,4,311,311,1.87,NA,NA,NA,2,NA,NA,NA
isu,ar,319,3,t3,9,320,320,1.62,NA,NA,NA,2.1,NA,4.33,48.5
isu,ar,312,3,t4,2,312,312,1.475,NA,NA,NA,2.1,NA,4.53,48.4
isu,ar,320,3,t5,10,316,316,1.419,NA,NA,NA,2.2,NA,4.73,48.2
isu,ar,311,3,t6,1,318,318,1.154,NA,NA,NA,2.2,NA,4.21,40.8
isu,ar,315,3,t7,5,317,217,1.274,NA,NA,NA,2.1,NA,4.75,42.8
isu,ar,313,3,t8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
isu,ar,318,3,t9,8,314,314,1.18,NA,NA,NA,2.1,NA,5.17,46.2
isu,ar,391,4,t0,1,294,294,2.099,NA,NA,NA,2.4,NA,3.79,49
isu,ar,393,4,t2,3,297,217,1.802,NA,NA,NA,2.1,NA,3.8,49
isu,ar,397,4,t3,7,516,293,1.75,NA,NA,NA,NA,NA,3.85,43.9
isu,ar,396,4,t4,6,522,271,1.663,NA,NA,NA,NA,NA,3.64,43.2
isu,ar,399,4,t5,9,298,298,1.416,NA,NA,NA,2,NA,4.08,40.4
isu,ar,398,4,t6,8,292,292,1.291,NA,NA,NA,2.1,NA,4.19,43.4
isu,ar,392,4,t7,2,299,299,1.181,NA,NA,NA,2.2,NA,4.65,39.9
isu,ar,400,4,t8,10,517,300,1.664,NA,NA,NA,NA,NA,2.7199999999999998,28.1
isu,ar,395,4,t9,5,295,295,1.318,NA,NA,NA,2.3,NA,3.86,40.4
isu,ar,394,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
