location,crop,forage_id,block,sample_time,forage_initial_drywt_g,forage_final_drywt_g,tea_id,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,forage_pct_remain,na.rm,tea_pct_remain,forage_prop_c,forage_prop_n,tea_prop_c,tea_prop_n,forage_initial_carbon,forage_final_carbon,forage_prop_c_remain,forage_pct_c_remain
wiu,pcro,1,1,t4,18.3,13.924999999999999,1,1.365,2,4.4,40.6,4.62,45.6,76.09289617486338,TRUE,68.25,0.406,0.044000000000000004,0.456,0.0462,8.25939939,5.65355,0.6844989245640535,68.44989245640535
wiu,pcro,2,1,t0,19.3,18.99,5,2.033,2.1,NA,NA,NA,NA,98.39378238341968,TRUE,96.8095238095238,NA,NA,NA,NA,8.71073269,NA,NA,NA
wiu,pcro,3,1,t2,19,18.437,3,1.928,2.1,5.14,44.1,4.18,48.6,97.03684210526316,TRUE,91.80952380952381,0.441,0.051399999999999994,0.486,0.0418,8.5753327,8.130717,0.9481517842450591,94.8151784245059
wiu,pcro,4,1,t7,19.3,14.129999999999997,NA,1.082,NA,4.04,38.7,NA,NA,73.2124352331606,TRUE,NA,0.387,0.0404,NA,NA,8.71073269,5.468309999999999,0.6277669393158705,62.77669393158705
wiu,pcro,5,1,t6,18.1,13.073,2,1.278,2.1,4.86,40.4,5,45.7,72.22651933701657,TRUE,60.857142857142854,0.40399999999999997,0.048600000000000004,0.457,0.05,8.169132730000001,5.281492,0.646518079037259,64.6518079037259
wiu,pcro,6,1,t5,18.7,13.671999999999999,6,1.514,2.1,4.43,38,4.51,43.9,73.11229946524064,TRUE,72.09523809523809,0.38,0.0443,0.439,0.0451,8.439932709999999,5.19536,0.6155688888187831,61.556888881878315
wiu,pcro,7,1,t8,18.4,13.37,7,1.449,2.1,4.53,42.8,4.52,41.5,72.66304347826087,TRUE,69,0.428,0.0453,0.415,0.0452,8.30453272,5.722359999999999,0.6890646581738075,68.90646581738075
wiu,pcro,8,1,t1,18.3,18.198,8,1.963,2.1,4.88,44.7,3.96,48.8,99.44262295081967,TRUE,93.47619047619048,0.447,0.048799999999999996,0.488,0.039599999999999996,8.25939939,8.134506,0.9848786353459049,98.48786353459049
wiu,pcro,9,1,t3,18.7,16.715,9,1.685,2.1,5.03,43.7,4.39,47.9,89.38502673796792,TRUE,80.23809523809524,0.43700000000000006,0.050300000000000004,0.479,0.043899999999999995,8.439932709999999,7.304455000000001,0.865463653678822,86.5463653678822
wiu,pcro,10,1,t9,18.7,12.198,10,1.287,2.1,4.75,42.3,5.23,46.8,65.22994652406418,TRUE,61.28571428571428,0.423,0.0475,0.46799999999999997,0.052300000000000006,8.439932709999999,5.159754,0.6113501348045701,61.13501348045701
wiu,wpc,11,1,t9,14.6,12.587,24,NA,2.2,2.47,38.9,2.78,34.9,86.2123287671233,TRUE,NA,0.389,0.024700000000000003,0.349,0.0278,6.2999,4.896343,0.7772096382482261,77.7209638248226
wiu,wpc,12,1,t5,15.1,12.847,30,1.987,2.1,3.17,41.7,2.1,21.3,85.0794701986755,TRUE,94.61904761904762,0.41700000000000004,0.0317,0.213,0.021,6.51565,5.3571990000000005,0.8222048452571885,82.22048452571885
wiu,wpc,13,1,t7,14.999999999999998,12.655,28,NA,2.2,2.59,40.9,1.33,11,84.36666666666667,TRUE,NA,0.409,0.0259,0.11,0.013300000000000001,6.472499999999999,5.175895,0.7996747779065276,79.96747779065277
wiu,wpc,14,1,t6,14.6,13.11,21,1.495,2.3,2.47,40.2,4.75,44.7,89.7945205479452,TRUE,65.00000000000001,0.402,0.024700000000000003,0.447,0.0475,6.2999,5.27022,0.8365561358116795,83.65561358116796
wiu,wpc,15,1,t8,14.899999999999997,12.502,92,1.552,2.2,2.67,39.9,4.36,43.5,83.9060402684564,TRUE,70.54545454545455,0.39899999999999997,0.026699999999999998,0.435,0.0436,6.429349999999999,4.9882979999999995,0.775863500975993,77.5863500975993
wiu,wpc,16,1,t2,15.1,14.735999999999999,NA,1.863,NA,2.59,43.3,NA,NA,97.58940397350993,TRUE,NA,0.433,0.0259,NA,NA,6.51565,6.380687999999999,0.9792864871501691,97.9286487150169
wiu,wpc,17,1,t1,14.899999999999997,15.264999999999999,25,1.995,2.1,2.31,42,3.04,29.7,102.4496644295302,TRUE,95,0.42,0.0231,0.297,0.0304,6.429349999999999,6.411299999999999,0.9971925622341294,99.71925622341294
wiu,wpc,18,1,t4,14.999999999999998,12.668,29,1.701,2.2,2.83,39.2,3.52,37.4,84.45333333333333,TRUE,77.31818181818181,0.392,0.028300000000000002,0.374,0.0352,6.472499999999999,4.965856,0.7672237929702588,76.72237929702588
wiu,wpc,19,1,t3,14.799999999999999,14.536,NA,1.864,NA,2.5,38.5,NA,NA,98.21621621621622,TRUE,NA,0.385,0.025,NA,NA,6.3862,5.59636,0.8763208167611413,87.63208167611413
wiu,wpc,20,1,t0,15.1,14.847999999999997,23,2.008,2.1,NA,NA,3.18,40.2,98.33112582781456,TRUE,95.61904761904762,NA,NA,0.402,0.0318,6.51565,NA,NA,NA
wiu,gpc,21,1,t1,18.1,18.226,50,1.874,1.9,2.2,42.8,3.55,47,100.69613259668506,TRUE,98.63157894736844,0.428,0.022000000000000002,0.47,0.0355,7.964,7.800727999999999,0.979498744349573,97.9498744349573
wiu,gpc,22,1,t9,19.6,17.411,49,1.389,2.1,2.48,40,4.41,42.3,88.83163265306122,TRUE,66.14285714285714,0.4,0.0248,0.423,0.0441,8.624,6.964400000000001,0.8075602968460113,80.75602968460113
wiu,gpc,23,1,t2,19.8,19.835,43,1.837,2.3,1.65,42.6,3.66,46,100.17676767676768,TRUE,79.86956521739131,0.426,0.0165,0.46,0.0366,8.712,8.44971,0.9698932506887052,96.98932506887053
wiu,gpc,24,1,t6,19.5,17.371,42,1.503,2.1,1.97,42.5,4.05,40.8,89.08205128205128,TRUE,71.57142857142857,0.425,0.0197,0.408,0.0405,8.58,7.382674999999999,0.8604516317016315,86.04516317016315
