location,crop,block,forage_initial_drywt_g,forage_final_drywt_g,tea_final_drywt_g,tea_initial_drywt_g,forage_pct_n,forage_pct_c,tea_pct_n,tea_pct_c,days
ISU,AR,1,22,21.92,2.104,2.1,3.11,43.4,3.78,48.6,0
ISU,AR,2,21.5,21.5,1.729,2.1,2.5275,41.9,4.18,49.025,0
ISU,AR,3,18.1,18.016000000000002,2.085,2.3,1.81,39.7,5.3,49,0
ISU,AR,4,20.8,20.711,2.099,2.4,2.59,43.5,3.79,49,0
ISU,CR,1,18.9,18.15,2.023,2.1,2.08,43.2,3.67,48.5,0
ISU,CR,2,22.5,22.075000000000003,2.008,2.1,2.12,43.1,3.77,47.5,0
ISU,CR,3,16.8,16.463,2.028,2.1,1.965,42.525,3.485,46.825,0
ISU,CR,4,20.1,19.41,2.003,2.1,1.84,43.3,3.87,49.8,0
ISU,GPC,1,12.9,12.776,1.994,2.1,2.24,44,4.123,47.93,0
ISU,GPC,2,8.87,8.87,2.3,2.3,2.24,44,4.123,47.93,0
ISU,GPC,3,14,13.445,2.136,2.4,2.24,44,4.123,47.93,0
ISU,GPC,4,20.4,20.212,2.17,2.1,2.05,45.1,3.68,48.9,0
ISU,PCRO,1,19.4,19.138,1.983,2,3.84,45.3,3.74,48.6,0
ISU,PCRO,2,18.2,18.055,NA,2.2,4.02,44.2,2.97,43.8,0
ISU,PCRO,3,18.7,18.782,2.141,2.2,3.63,45.2,3.83,48.1,0
ISU,PCRO,4,14.100000000000001,13.986,2.211,2.1,5.51,44.9,3.89,48.7,0
ISU,WPC,1,13.1,12.995,1.976,2,2.61,42.2,3.82,49.1,0
ISU,WPC,2,18.3,17.683,2.399,2.5,2.665,43.15,5.18,49.3,0
ISU,WPC,3,8.1,7.949,2.107,2.2,2.72,44.1,3.7,48.6,0
ISU,WPC,4,20.8,20.692,2.164,2.3,2.665,43.15,3.97,46.8,0
WIU,AR,1,11.9,11.867,2.017,2.2,2.61,41.3,3.85,49.5,0
WIU,AR,2,15.5,15.125,2.109,2.2,2.5275,41.9,4.18,49.025,0
WIU,AR,3,15.7,13.974,1.994,2.1,2.5275,41.9,4.18,49.025,0
WIU,AR,4,18.7,17.257,2.064,2.2,2.5275,41.9,4.18,49.025,0
WIU,CR,1,15.200000000000001,14.750000000000002,1.993,2,1.965,42.525,3.485,46.825,0
WIU,CR,2,15.5,15.475000000000001,2.117,2.1,1.965,42.525,3.485,46.825,0
WIU,CR,3,15.899999999999999,15.638000000000002,2.015,2.1,1.965,42.525,3.485,46.825,0
WIU,CR,4,19.7,19.499,2.075,2.1,1.82,40.5,2.63,41.5,0
WIU,GPC,1,18.7,18.394,2.216,2.1,2.24,44,4.123,47.93,0
WIU,GPC,2,20.9,20.776,2.046,2.1,2.24,44,4.89,46,0
WIU,GPC,3,15.7,15.472999999999999,2.052,2.3,2.43,42.9,3.8,48.9,0
WIU,GPC,4,15.5,15.433,2.065,2.2,2.24,44,4.123,47.93,0
WIU,PCRO,1,19.3,18.99,2.033,2.1,4.25,44.9,3.6075,47.375,0
WIU,PCRO,2,17.5,17.287,2.067,2.1,4.25,44.9,3.83,42.6,0
WIU,PCRO,3,19,18.972,2.014,2.1,4.25,44.9,3.6075,47.375,0
WIU,PCRO,4,17.1,16.115,1.99,2.3,4.25,44.9,2.18,41,0
WIU,WPC,1,15.100000000000001,14.847999999999999,2.008,2.1,2.665,43.15,3.18,40.2,0
WIU,WPC,2,20.7,20.373,2.031,2.1,2.665,43.15,3.97,46.8,0
WIU,WPC,3,14.8,14.707999999999998,2.089,2.1,2.665,43.15,3.97,46.8,0
WIU,WPC,4,19,18.875,2.152,2.2,2.665,43.15,3.97,46.8,0
ISU,AR,1,18.400000000000002,18.404,2.008,2.2,2.74,43.1,3.75,48.5,4
ISU,AR,2,20.900000000000002,19.012,2.222,2.3,3,34.1,2.93,28.4,4
ISU,AR,3,19,18.921000000000003,2.049,2.1,1.83,41.2,3.92,49,4
ISU,AR,4,20.5,NA,2.317,2.4,2.8,43.5,2.34,22.6,4
ISU,CR,1,18.7,18.529,1.996,2,1.96,43.1,3.78,48.7,4
ISU,CR,2,16.900000000000002,16.773,2.028,2.1,1.78,43.3,3.44,46.4,4
ISU,CR,3,18.4,18.043,1.963,2,NA,NA,NA,NA,4
ISU,CR,4,19.3,19.048,2.064,2.1,1.78,43.2,3.79,48,4
ISU,GPC,1,16.8,16.732,2.042,2.1,2.21,45.1,3.88,49,4
ISU,GPC,2,9.1,8.794,1.966,2.1,2.44,43.2,3.8,48.6,4
ISU,GPC,3,14.399999999999999,13.918,1.917,2.2,NA,NA,4.49,46.1,4
ISU,GPC,4,18.3,18.033,2.223,2.2,1.37,44,3.72,47.5,4
ISU,PCRO,1,18.4,18.204,2.086,2.1,3.57,43.6,3.89,48.3,4
ISU,PCRO,2,18.3,NA,2.182,2.2,NA,NA,NA,NA,4
ISU,PCRO,3,18.7,18.823,2.023,2.1,3.77,45.5,3.85,48.3,4
ISU,PCRO,4,13.1,13.041,1.969,2.1,4.83,43.9,3.87,47.5,4
ISU,WPC,1,8.5,8.492,2.197,2.3,2.88,43.1,3.91,46.7,4
ISU,WPC,2,19,18.368,2.228,2,2.83,45.3,3.83,48.9,4
ISU,WPC,3,7.1,6.992000000000001,1.975,2.1,2.68,44.4,3.91,48.1,4
ISU,WPC,4,20.900000000000002,20.801000000000002,2.109,2.1,NA,NA,NA,NA,4
WIU,AR,1,11.8,11.988,1.981,2,2.69,40.2,3.41,45.7,4
