crop,block,location,term,estimate,std.error,statistic,p.value
AR,1,ISU,k,0.012610508402028407,0.0011678722036942792,10.79784959530515,4.772064454556146e-6
AR,1,WIU,k,0.013463585728353778,0.0012846526642004026,10.480331457323388,2.4182256956835816e-6
AR,2,ISU,k,0.013262598850847917,7.343210159355788e-4,18.061036744196123,2.2275266097180164e-8
AR,2,WIU,k,0.013841048824137883,0.0016432652165698947,8.422894055427825,1.4633419806805946e-5
AR,3,ISU,k,0.005721799940224408,4.486819791133359e-4,12.752462114773493,4.579190429585441e-7
AR,3,WIU,k,0.009915758001555308,0.0011770837125590807,8.424004083785682,3.0054594607688293e-5
AR,4,ISU,k,0.008499428154823215,6.110893605349365e-4,13.908650197056238,2.1701452241714133e-7
AR,4,WIU,k,0.007687130958606534,9.640658034846294e-4,7.973657950340414,2.2725612769871974e-5
CR,1,ISU,k,0.011860474161711548,6.978367240416205e-4,16.99605903945543,3.79503402638245e-8
CR,1,WIU,k,0.008874697248272003,8.571678179877019e-4,10.353511951844336,2.6777232080446133e-6
CR,2,ISU,k,0.009579575037621151,0.0010510022028604237,9.114705003994505,7.696859023836131e-6
CR,2,WIU,k,0.008549641279328196,7.608365678247914e-4,11.23715872880737,1.344567919013709e-6
CR,3,ISU,k,0.012303412532226263,0.001067446609900737,11.5260214591626,8.329175771887262e-6
CR,3,WIU,k,0.007506648702861194,7.195836935578946e-4,10.431932755098266,2.513834095212001e-6
CR,4,ISU,k,0.008341197123918233,6.464287981644554e-4,12.9035048370419,4.1393984473094346e-7
CR,4,WIU,k,0.009673826348146198,7.778370123137326e-4,12.436829560695113,5.67494506584934e-7
GPC,1,ISU,k,0.00537593995916546,6.995660426930397e-4,7.684678259210976,3.047674205147147e-5
GPC,1,WIU,k,0.005684916279756604,7.948534969241815e-4,7.152156091349335,5.353813632741388e-5
GPC,2,ISU,k,0.004259969866209325,6.269383658010361e-4,6.794878250538045,7.951179284963565e-5
GPC,2,WIU,k,0.004109953942026513,7.613293978433418e-4,5.398391226805372,4.339185705344739e-4
GPC,3,ISU,k,0.009995877735465536,9.210775502502583e-4,10.852373649482217,1.8040550561096645e-6
GPC,3,WIU,k,0.004586522233695483,7.425629943508882e-4,6.176610292443665,1.6339558756087597e-4
GPC,4,ISU,k,0.0027463617279601398,4.4177384155785906e-4,6.216668959564119,1.5572113361478503e-4
GPC,4,WIU,k,0.01023401885315936,0.001148599124636115,8.910000568215283,9.268994584969015e-6
PCRO,1,ISU,k,0.010853747087292871,0.0012088482528860305,8.978585245402307,8.706038085202509e-6
PCRO,1,WIU,k,0.013460943029127625,0.0012379897504983899,10.873226554346285,1.7751309263213017e-6
PCRO,2,ISU,k,0.012435228361759362,0.0013093520459233233,9.497238271766964,5.487836026527889e-6
PCRO,2,WIU,k,0.010564842096682153,0.0012446366176430141,8.488294452310862,1.3746496410339611e-5
PCRO,3,ISU,k,0.012437911978330376,0.0012827561360827455,9.696240484425214,4.622917762762822e-6
PCRO,3,WIU,k,0.011044668247427376,0.0012459316884913803,8.86458571480806,9.663756010554781e-6
PCRO,4,ISU,k,0.013197259669987168,0.001277041453579637,10.33424532382588,2.7197680852514082e-6
PCRO,4,WIU,k,0.010878918635078384,9.727406939113933e-4,11.18378073742779,1.3997865490600567e-6
WPC,1,ISU,k,0.008519154131444374,0.0015197921683824504,5.605473109202493,3.319395553251949e-4
WPC,1,WIU,k,0.006036136629524517,7.963035168584086e-4,7.58019586970857,3.395882142466212e-5
WPC,2,ISU,k,0.004921728683597176,4.5002780874481285e-4,10.936499007304745,1.6904548690436142e-6
WPC,2,WIU,k,0.004416752193478107,5.335978518422647e-4,8.27730504954081,1.684229269549642e-5
WPC,3,ISU,k,0.004853051884640956,8.775374324357389e-4,5.530307546164237,3.6558825436631287e-4
WPC,3,WIU,k,0.007499202488268504,0.0012248091604249933,6.122751797240294,1.7436981537069732e-4
WPC,4,ISU,k,0.0059476563528372784,5.615432542677348e-4,10.591626393220873,2.2132288566956346e-6
WPC,4,WIU,k,0.00591603702956141,7.273580165541592e-4,8.133597066254236,1.9386798591177877e-5
