crop,block,location,term,estimate,std.error,statistic,p.value
AR,1,ISU,k,0.011789181071385064,9.831037103173162e-4,11.991797963594168,2.155066280646688e-6
AR,1,WIU,k,0.018075022035276864,0.002191276012845869,8.2486286206375,1.7319180572010657e-5
AR,2,ISU,k,0.020768427243202343,0.002511743686944845,8.268529687622697,1.69866772733631e-5
AR,2,WIU,k,0.01819713816268629,0.001901439582679955,9.570190043608228,5.151636060205179e-6
AR,3,ISU,k,0.010257959541410169,0.0012123068916366638,8.461520438575999,1.4102241670399473e-5
AR,3,WIU,k,0.018747640481377788,0.0018650297925739848,10.052193566036065,8.16449741003442e-6
AR,4,ISU,k,0.012853597408419615,9.191694044745774e-4,13.98392651653488,2.0712868393002446e-7
AR,4,WIU,k,0.015548007697443226,0.0018300014533177572,8.49617232229788,1.3643709794045716e-5
CR,1,ISU,k,0.0130110024114538,0.0010938892893810398,11.894258895994744,8.302558527363728e-7
CR,1,WIU,k,0.011524080635839143,0.0016773829698179584,6.8702740180376445,7.305567005520445e-5
CR,2,ISU,k,0.00998458616464288,0.0012024089374329265,8.303818986874294,1.6414173741400975e-5
CR,2,WIU,k,0.011119103749609264,6.626421655799778e-4,16.77995202716577,4.244647537823204e-8
CR,4,ISU,k,0.009932092949196978,8.421601417172835e-4,11.793591808968824,8.925059137243951e-7
CR,4,WIU,k,0.010155879168663897,0.0011005500447361333,9.228003049237856,6.954673484217964e-6
GPC,1,ISU,k,0.010606366218509916,0.0011442712142524089,9.269101666111048,6.7052181925672306e-6
GPC,1,WIU,k,0.01073954180703827,0.0018247828438524786,5.885380741724295,2.33263732584519e-4
GPC,2,ISU,k,0.014598118801823668,3.1173280977091374e-4,46.82894563633368,4.623433447337082e-12
GPC,2,WIU,k,0.02024137150319855,0.00358311259094384,5.649102837113667,3.139595635900303e-4
GPC,3,ISU,k,0.012906070929444175,0.001532262118272517,8.422887165020153,1.4633516500773837e-5
GPC,3,WIU,k,0.013283294936907204,0.00203824262610101,6.517033235791487,1.0926674439828946e-4
GPC,4,ISU,k,0.006795154830779911,3.4097118839779495e-4,19.92882408249792,9.369534811840213e-9
GPC,4,WIU,k,0.015610456671954041,0.001762188638920651,8.858561635895871,9.717494122373123e-6
PCRO,1,ISU,k,0.017370022461898844,0.0015097633138573734,11.505129514320535,1.1013452714359422e-6
PCRO,1,WIU,k,0.017612759332987532,0.0021258091311951296,8.285202596286545,1.6713502903251402e-5
PCRO,2,ISU,k,0.01733002752519066,0.001416156803413869,12.237364876130876,6.515492118939227e-7
PCRO,2,WIU,k,0.01818274206406143,0.002057550874994751,8.837080183549686,9.911812885963473e-6
PCRO,3,ISU,k,0.014196696932179325,0.0012781103441233805,11.107567509686682,1.4830162427882375e-6
PCRO,3,WIU,k,0.024584850827379226,0.002284170434934858,10.763142036763277,4.889256788409051e-6
PCRO,4,ISU,k,0.014734924477466422,0.0014351300635142843,10.267309460011017,2.8715964767274472e-6
PCRO,4,WIU,k,0.021070164122690548,0.0017676642385205036,11.91977733301083,2.256267783852748e-6
WPC,1,ISU,k,0.013970308583013208,0.0026445946353319733,5.282589776281358,5.053665286464293e-4
WPC,1,WIU,k,0.009377641308630816,0.0011305353066974292,8.294868150580106,1.655735099318478e-5
WPC,2,ISU,k,0.012308320548340784,7.767089302957096e-4,15.846760695354364,6.995694336185335e-8
WPC,2,WIU,k,0.01194568220346296,0.0010102685391598957,11.824264282639717,8.730091970267885e-7
WPC,3,ISU,k,0.014434835463754254,0.0015323820250699423,9.419867387895918,5.871020219036647e-6
WPC,3,WIU,k,0.010967356415436103,0.002566879919476454,4.2726410114552715,0.0020722489592803883
WPC,4,ISU,k,0.010708331484519756,7.58779165578151e-4,14.11257974691563,1.913660865956893e-7
WPC,4,WIU,k,0.009957351563240386,0.0012786954360731572,7.78711746545305,2.7439317213277075e-5
