crop,block,location,term,estimate,std.error,statistic,p.value
AR,1,ISU,k,0.0061053984560059575,0.0017526084681110654,3.483606616705591,0.008275696513381723
AR,1,WIU,k,0.011687797804404659,0.0014941997824088698,7.822111836719859,2.647907107774184e-5
AR,2,ISU,k,0.006408178228026542,0.0013507827440447447,4.744048039019272,0.001052938516218777
AR,2,WIU,k,0.01293557492602503,0.0012893524903564192,10.032613286727521,3.4825399913679435e-6
AR,3,ISU,k,0.018968622363466348,0.004653920287106889,4.075837400141247,0.002775262156959212
AR,3,WIU,k,0.0036778840384686646,0.002689351440308242,1.3675728591452225,0.20862810187893774
AR,4,ISU,k,0.006573607476026062,8.166910538056986e-4,8.049074916877942,2.1078606671267514e-5
AR,4,WIU,k,0.003702085815981569,0.0018650028072865596,1.985029621144554,0.07842193570714752
CR,1,ISU,k,0.002172476557424681,0.0018977309552637605,1.1447758447523109,0.28183227211679546
CR,1,WIU,k,0.009722910898866741,0.0027533634489016836,3.531284946324543,0.006401024446617523
CR,2,ISU,k,0.0021494709131506277,0.0017618054696753199,1.2200387330768987,0.25345390353134406
CR,2,WIU,k,0.004411286906319366,0.002222111820281526,1.9851777332071827,0.07840323209178808
CR,4,ISU,k,0.005505224841620088,0.001844760351656829,2.984249329012138,0.01534341000496931
CR,4,WIU,k,-7.82218016732251e-4,0.0013179525362969615,-0.5935100052465025,0.5674544576335622
GPC,1,ISU,k,-0.001482526548425431,0.002385910374907952,-0.6213672416268472,0.549770416509644
GPC,1,WIU,k,0.0015902964041166656,0.002069640536528806,0.7683925667516666,0.46193924856924307
GPC,2,ISU,k,-0.005123824209517731,0.0011597397160285833,-4.418081176924571,0.0016758400543728982
GPC,2,WIU,k,0.001797247856573376,0.0016970694140954336,1.059030256302945,0.31717994989102977
GPC,3,ISU,k,-0.005071905766709346,0.0013662511891492195,-3.712279123334327,0.004827928603413192
GPC,3,WIU,k,0.0016970466548990955,0.001247267930823773,1.3606111509483458,0.2067327044296682
GPC,4,ISU,k,0.008113646064330259,0.003749633750787515,2.1638502860782585,0.058698369272493695
GPC,4,WIU,k,-0.004157930862919316,0.002030613952986853,-2.0476225216532997,0.07088586788689497
PCRO,1,ISU,k,0.017253947227288638,0.002367339181682811,7.2883291759754325,4.6220484102088e-5
PCRO,1,WIU,k,0.010258644667053375,0.0026104686737557794,3.929809528146483,0.0034590440781133987
PCRO,2,ISU,k,0.012035223914526058,0.001478106838607723,8.142323410033356,1.9220803170372016e-5
PCRO,2,WIU,k,0.033312299219918115,0.005345324662517953,6.232044136347393,1.5288053219953074e-4
PCRO,3,ISU,k,0.015981773309365906,0.0021169083880231776,7.549581927959617,3.50600141502462e-5
PCRO,3,WIU,k,0.03553224211203163,0.005979297449146486,5.942544657500469,3.4484853435268604e-4
PCRO,4,ISU,k,0.006366397818591255,0.0028581863914251397,2.22742569822987,0.05291872573263392
PCRO,4,WIU,k,0.03707717650031938,0.007885306374403638,4.702059088112922,0.0015373642690337547
WPC,1,ISU,k,0.002300278803946126,0.0021993084744473014,1.0459100352096806,0.3228789040592785
WPC,1,WIU,k,0.00694336582108042,0.00129451399453314,5.363685406571839,4.5411081980719975e-4
WPC,2,ISU,k,0.004608476755099429,0.0010612143259872786,4.342644687548888,0.0018702272951079885
WPC,2,WIU,k,0.008698825335001917,0.0013601599453685253,6.395442951119278,1.2594567896979483e-4
WPC,3,ISU,k,0.0030589184916349657,9.553436920479416e-4,3.2019036887946095,0.010798265893641088
WPC,3,WIU,k,0.009280471291480274,0.0019641439732512064,4.724944514183705,0.0010815490509251406
WPC,4,ISU,k,8.265291235922558e-4,4.7170351856859255e-4,1.7522216626672595,0.11364569454142881
WPC,4,WIU,k,0.00111820042717732,0.0012769194772221082,0.8757015983575756,0.4039578182057162
