forage_id,location,crop,block,sample_time,series_no,forage_initial_drywt_g,forage_final_drywt_g,pct_n,pct_c,forage_mass_loss,forage_pct_remain,forage_prop_c,forage_prop_n,forage_c_g,forage_n_g
1,wiu,pcro,1,t4,1,18.3,13.924999999999999,4.4,40.6,4.375000000000002,76.09289617486338,0.406,0.044000000000000004,5.65355,0.6127
2,wiu,pcro,1,t0,2,19.3,18.99,NA,NA,0.3100000000000023,98.39378238341968,NA,NA,NA,NA
3,wiu,pcro,1,t2,3,19,18.437,5.175,44.3,0.5629999999999988,97.03684210526316,0.44299999999999995,0.05175,8.167591,0.95411475
4,wiu,pcro,1,t7,4,19.3,14.129999999999997,4.04,38.7,5.1700000000000035,73.2124352331606,0.387,0.0404,5.468309999999999,0.5708519999999999
5,wiu,pcro,1,t6,5,18.1,13.073,4.86,40.4,5.027000000000001,72.22651933701657,0.40399999999999997,0.048600000000000004,5.281492,0.6353478000000001
6,wiu,pcro,1,t5,6,18.7,13.671999999999999,4.43,38,5.0280000000000005,73.11229946524064,0.38,0.0443,5.19536,0.6056695999999999
7,wiu,pcro,1,t8,7,18.4,13.37,4.53,42.8,5.029999999999999,72.66304347826087,0.428,0.0453,5.722359999999999,0.605661
8,wiu,pcro,1,t1,8,18.3,18.198,4.88,44.7,0.10200000000000031,99.44262295081967,0.447,0.048799999999999996,8.134506,0.8880623999999999
9,wiu,pcro,1,t3,9,18.7,16.715,5.03,43.7,1.9849999999999994,89.38502673796792,0.43700000000000006,0.050300000000000004,7.304455000000001,0.8407645
10,wiu,pcro,1,t9,10,18.7,12.198,4.75,42.3,6.501999999999999,65.22994652406418,0.423,0.0475,5.159754,0.5794050000000001
11,wiu,wpc,1,t9,1,14.6,12.587,2.47,38.9,2.013,86.2123287671233,0.389,0.024700000000000003,4.896343,0.31089890000000003
12,wiu,wpc,1,t5,2,15.1,12.847,3.17,41.7,2.253,85.0794701986755,0.41700000000000004,0.0317,5.3571990000000005,0.4072499
13,wiu,wpc,1,t7,3,14.999999999999998,12.655,2.59,40.9,2.344999999999999,84.36666666666667,0.409,0.0259,5.175895,0.32776449999999996
14,wiu,wpc,1,t6,4,14.6,13.11,2.47,40.2,1.4900000000000002,89.7945205479452,0.402,0.024700000000000003,5.27022,0.323817
15,wiu,wpc,1,t8,5,14.899999999999997,12.502,2.67,39.9,2.397999999999996,83.9060402684564,0.39899999999999997,0.026699999999999998,4.9882979999999995,0.3338034
16,wiu,wpc,1,t2,6,15.1,14.735999999999999,2.59,43.3,0.36400000000000077,97.58940397350993,0.433,0.0259,6.380687999999999,0.38166239999999996
17,wiu,wpc,1,t1,7,14.899999999999997,15.264999999999999,2.31,42,-0.365000000000002,102.4496644295302,0.42,0.0231,6.411299999999999,0.3526215
18,wiu,wpc,1,t4,8,14.999999999999998,12.668,2.83,39.2,2.331999999999999,84.45333333333333,0.392,0.028300000000000002,4.965856,0.3585044
19,wiu,wpc,1,t3,9,14.799999999999999,14.536,2.5,38.5,0.26399999999999935,98.21621621621622,0.385,0.025,5.59636,0.3634
20,wiu,wpc,1,t0,10,15.1,14.847999999999997,NA,NA,0.25200000000000244,98.33112582781456,NA,NA,NA,NA
21,wiu,gpc,1,t1,1,18.1,18.226,2.2,42.8,-0.12599999999999767,100.69613259668506,0.428,0.022000000000000002,7.800727999999999,0.400972
22,wiu,gpc,1,t9,2,19.6,17.411,2.48,40,2.189,88.83163265306122,0.4,0.0248,6.964400000000001,0.43179280000000003
23,wiu,gpc,1,t2,3,19.8,19.835,1.65,42.6,-0.03500000000000014,100.17676767676768,0.426,0.0165,8.44971,0.32727750000000005
24,wiu,gpc,1,t6,4,19.5,17.371,2.025,41.9,2.1290000000000013,89.08205128205128,0.419,0.02025,7.278448999999999,0.35176274999999996
25,wiu,gpc,1,t8,5,20,16.197,2.95,40.8,3.803000000000001,80.985,0.408,0.029500000000000002,6.608375999999999,0.4778115
26,wiu,gpc,1,t3,6,19,18.918,2.2,38.2,0.08200000000000074,99.56842105263158,0.382,0.022000000000000002,7.226675999999999,0.416196
27,wiu,gpc,1,t5,7,19.4,16.828,2.55,34.5,2.571999999999999,86.74226804123711,0.345,0.0255,5.80566,0.42911399999999994
28,wiu,gpc,1,t4,8,20.2,17.594,NA,NA,2.605999999999998,87.09900990099011,NA,NA,NA,NA
29,wiu,gpc,1,t0,9,18.7,18.394,NA,NA,0.30600000000000094,98.36363636363636,NA,NA,NA,NA
30,wiu,gpc,1,t7,10,18.8,16.064,2.57,36,2.7360000000000007,85.44680851063829,0.36,0.025699999999999997,5.78304,0.41284479999999996
31,wiu,cr,1,t2,1,15.199999999999998,14.789,1.44,41.7,0.4109999999999978,97.29605263157896,0.41700000000000004,0.0144,6.167013000000001,0.2129616
32,wiu,cr,1,t8,2,15.1,11.432,1.93,39.7,3.6679999999999993,75.70860927152319,0.397,0.019299999999999998,4.5385040000000005,0.2206376
33,wiu,cr,1,t1,3,15.199999999999998,15.135,1.7,39.5,0.06499999999999773,99.57236842105264,0.395,0.017,5.978325,0.257295
34,wiu,cr,1,t4,4,15.199999999999998,13.402,1.69,42,1.7979999999999983,88.17105263157896,0.42,0.0169,5.628839999999999,0.22649379999999997
35,wiu,cr,1,t3,5,15.299999999999999,14.110999999999999,1.7,40,1.189,92.22875816993465,0.4,0.017,5.6444,0.239887
36,wiu,cr,1,t9,6,14.899999999999997,11.517,2.28,41.4,3.3829999999999973,77.29530201342283,0.414,0.022799999999999997,4.768038,0.2625876
37,wiu,cr,1,t0,7,15.2,14.75,NA,NA,0.4499999999999993,97.03947368421053,NA,NA,NA,NA
38,wiu,cr,1,NA,8,15.299999999999997,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,wiu,cr,1,t7,9,15.399999999999997,13.16,1.86,40.3,2.2399999999999967,85.45454545454547,0.40299999999999997,0.018600000000000002,5.3034799999999995,0.24477600000000002
40,wiu,cr,1,t6,10,17.1,13.035,1.96,34.6,4.065000000000001,76.22807017543859,0.34600000000000003,0.0196,4.51011,0.255486
41,wiu,ar,1,t4,1,11.6,9.31,2.77,35.1,2.289999999999999,80.25862068965517,0.35100000000000003,0.0277,3.2678100000000003,0.257887
42,wiu,ar,1,t8,2,12.3,8.922,2.49,38.6,3.378,72.53658536585365,0.386,0.024900000000000002,3.4438920000000004,0.22215780000000004
