location,crop,block,days,forage_initial_drywt_g,forage_final_drywt_g,forage_pct_n,forage_pct_c,forage_t0_c_g,forage_t0_n_g,forage_collected_c_g,forage_collected_n_g,forage_pct_remain,forage_pct_c_remain,forage_pct_n_remain,tea_initial_drywt_g,tea_final_drywt_g,tea_pct_n,tea_pct_c,tea_t0_c_g,tea_t0_n_g,tea_collected_c_g,tea_collected_n_g,tea_pct_remain,tea_pct_c_remain,tea_pct_n_remain
WIU,PCRO,1,12,18.3,13.925,4.4,40.6,8.216700000000001,0.7868999999999999,5.653550000000001,0.6127,76.093,68.80560322270497,77.86249841148812,2,1.365,4.62,45.6,0.892,0.066,0.62244,0.06279,68.25,69.78026905829596,95.13636363636363
WIU,PCRO,1,0,19.3,18.99,4.25,44.9,8.665700000000001,0.8299,8.52651,0.8165699999999999,98.394,98.39378238341968,98.39378238341968,2.1,2.033,3.6075,47.375,0.9366000000000001,0.0693,0.9636419999999999,0.07318799999999999,96.8095238095238,102.8872517616912,105.6103896103896
WIU,PCRO,1,6,19,18.437,5.18,44.3,8.531,0.817,8.167591,0.958724,97.037,95.74013597468057,117.34687882496941,2.1,1.928,4.18,48.6,0.9366000000000001,0.0693,0.937008,0.080976,91.80952380952381,100.04356181934655,116.84848484848484
WIU,PCRO,1,25,19.3,14.13,4.04,38.7,8.665700000000001,0.8299,5.468310000000001,0.5652,73.212,63.10292301833667,68.10459091456804,2,1.082,NA,NA,0.892,0.066,NA,NA,54.1,NA,NA
WIU,PCRO,1,20,18.1,13.073,4.86,40.4,8.126900000000001,0.7783,5.281492,0.6405770000000001,72.227,64.98778131883005,82.30463831427471,2.1,1.278,5,45.7,0.9366000000000001,0.0693,0.5840460000000001,0.0639,60.857142857142854,62.35810377962845,92.20779220779221
WIU,PCRO,1,16,18.7,13.672,4.43,38,8.3963,0.8040999999999999,5.19536,0.601568,73.112,61.876779057441965,74.81258549931601,2.1,1.514,4.51,43.9,0.9366000000000001,0.0693,0.664646,0.06813,72.09523809523809,70.96369848387785,98.3116883116883
WIU,PCRO,1,30,18.4,13.37,4.53,42.8,8.2616,0.7911999999999999,5.722359999999999,0.6016499999999999,72.663,69.26454923985668,76.04271991911021,2.1,1.449,4.52,41.5,0.9366000000000001,0.0693,0.601335,0.065205,69,64.20403587443944,94.0909090909091
WIU,PCRO,1,4,18.3,18.198,4.88,44.7,8.216700000000001,0.7868999999999999,8.134506,0.8917020000000001,99.443,98.99967140092737,113.31833778116662,2.1,1.963,3.96,48.8,0.9366000000000001,0.0693,0.957944,0.07852,93.47619047619048,102.27888105915011,113.3044733044733
WIU,PCRO,1,8,18.7,16.715,5.03,43.7,8.3963,0.8040999999999999,7.304455,0.83575,89.385,86.99611733739862,103.9360776022883,2.1,1.685,4.39,47.9,0.9366000000000001,0.0693,0.807115,0.07414,80.23809523809524,86.17499466154173,106.98412698412699
WIU,PCRO,1,35,18.7,12.198,4.75,42.3,8.3963,0.8040999999999999,5.159754,0.585504,65.23,61.45271131331659,72.81482402686234,2.1,1.287,5.23,46.8,0.9366000000000001,0.0693,0.602316,0.066924,61.28571428571428,64.30877642536834,96.57142857142857
WIU,WPC,1,35,14.6,12.587,2.47,38.9,6.3072,0.3942,4.896343,0.31467500000000004,86.212,77.63100900558092,79.82623033992898,2.2,NA,2.78,34.9,0.9933000000000001,0.08360000000000001,NA,NA,NA,NA,NA
WIU,WPC,1,16,15.1,12.847,3.17,41.7,6.5232,0.4077,5.357199,0.41110399999999997,85.079,82.12532192788815,100.83492764287465,2.1,1.987,2.1,21.3,0.94815,0.0798,0.423231,0.04172700000000001,94.61904761904762,44.63755734852081,52.28947368421054
WIU,WPC,1,25,15,12.655,2.59,40.9,6.4799999999999995,0.40499999999999997,5.175895,0.32903,84.367,79.87492283950617,81.24197530864198,2.2,NA,1.33,11,0.9933000000000001,0.08360000000000001,NA,NA,NA,NA,NA
WIU,WPC,1,20,14.6,13.11,2.47,40.2,6.3072,0.3942,5.27022,0.32775,89.795,83.5587899543379,83.14307458143074,2.3,1.495,4.75,44.7,1.0384499999999999,0.08739999999999999,0.6682650000000001,0.07176,65.00000000000001,64.35215946843856,82.10526315789475
WIU,WPC,1,30,14.9,12.502,2.67,39.9,6.4368,0.4023,4.988298,0.337554,83.906,77.49655108128263,83.90604026845638,2.2,1.552,4.36,43.5,0.9933000000000001,0.08360000000000001,0.67512,0.068288,70.54545454545455,67.96738145575355,81.68421052631578
WIU,WPC,1,6,15.1,14.736,2.59,43.3,6.5232,0.4077,6.380688,0.383136,97.589,97.81530537159676,93.97498160412067,2.3,1.863,NA,NA,1.0384499999999999,0.08739999999999999,NA,NA,81,NA,NA
WIU,WPC,1,4,14.9,14.666,2.31,42,6.4368,0.4023,6.15972,0.337318,98.43,95.69537658463834,83.84737757892121,2.1,1.995,3.04,29.7,0.94815,0.0798,0.592515,0.05985,95,62.49169435215946,75
WIU,WPC,1,12,15,12.668,2.83,39.2,6.4799999999999995,0.40499999999999997,4.965856,0.35470399999999996,84.453,76.63358024691358,87.58123456790123,2.2,1.701,3.52,37.4,0.9933000000000001,0.08360000000000001,0.636174,0.059535000000000005,77.31818181818181,64.04651162790698,71.21411483253588
WIU,WPC,1,8,14.8,14.536,2.5,38.5,6.3936,0.3996,5.59636,0.3634,98.216,87.53065565565565,90.94094094094093,2.2,1.864,NA,NA,0.9933000000000001,0.08360000000000001,NA,NA,84.72727272727273,NA,NA
WIU,WPC,1,0,15.1,14.848,2.665,43.15,6.5232,0.4077,6.4143360000000005,0.40089600000000003,98.331,98.33112582781457,98.33112582781457,2.1,2.008,3.18,40.2,0.94815,0.0798,0.807216,0.06425600000000001,95.61904761904762,85.1358962189527,80.52130325814538
WIU,GPC,1,4,18.1,17.911,2.2,42.8,7.914225000000001,0.40725,7.665908000000001,0.394042,98.956,96.86239650755444,96.75678330263966,1.9,1.874,3.55,47,0.905825,0.080275,0.88078,0.06559000000000001,98.63157894736844,97.23511715839153,81.70663344752414
WIU,GPC,1,35,19.6,17.411,2.48,40,8.570100000000002,0.441,6.964400000000001,0.4352750000000001,88.832,81.26392924236589,98.70181405895694,2.1,1.389,4.41,42.3,1.0011750000000001,0.08872500000000001,0.587547,0.061116,66.14285714285714,58.68574425050566,68.88250211327133
WIU,GPC,1,6,19.8,19.835,1.65,42.6,8.65755,0.4455,8.44971,0.31736000000000003,100.177,97.59932082402064,71.23681257014591,2.3,1.837,3.66,46,1.096525,0.097175,0.84502,0.067969,79.86956521739131,77.063450445726275,69.9449446874196
WIU,GPC,1,20,19.5,17.371,2.03,41.9,8.526375,0.43875,7.278448999999999,0.34742,89.082,85.36393250355513,79.18404558404559,2.1,1.503,4.05,40.8,1.0011750000000001,0.08872500000000001,0.6132239999999999,0.06012,71.57142857142857,61.250430743875924,67.75993237531698
WIU,GPC,1,30,20,16.197,2.95,40.8,8.745000000000001,0.44999999999999996,6.608375999999999,0.48590999999999995,80.985,75.56747855917665,107.98,2.4,1.723,3.51,37.4,1.1441999999999999,0.1014,0.644402,0.06030500000000001,71.79166666666667,56.31900017479462,59.47238658777121
WIU,GPC,1,8,19,18.918,2.2,38.2,8.30775,0.4275,7.226675999999999,0.41619599999999995,99.568,86.98716258914867,97.35578947368421,2.3,1.978,3.28,35.8,1.096525,0.097175,0.708124,0.065274,86.00000000000001,64.57891976927111,67.17159763313609
WIU,GPC,1,16,19.4,16.828,2.55,34.5,8.48265,0.43649999999999994,5.80566,0.4207,86.742,68.44158370320595,96.3802978235968,2.2,2.142,3.02,31.4,1.04885,0.09295000000000002,0.672588,0.06426,97.36363636363635,64.12623349382656,69.1339429800968
WIU,GPC,1,12,20.2,17.594,NA,NA,8.83245,0.45449999999999996,NA,NA,87.099,NA,NA,2.2,1.579,4.41,44.5,1.04885,0.09295000000000002,0.702655,0.069476,71.77272727272727,66.9928969824093,74.7455621301775
WIU,GPC,1,0,18.7,18.394,2.24,44,8.176575,0.42074999999999996,8.093359999999999,0.4046679999999999,98.364,98.98227558604916,96.17777777777778,2.1,2.216,4.123,47.93,1.0011750000000001,0.08872500000000001,1.061464,0.090856,105.52380952380953,106.02182435638123,102.40180332488025
WIU,GPC,1,25,18.8,16.064,2.57,36,8.2203,0.423,5.78304,0.417664,85.447,70.35071712711215,98.7385342789598,2.1,1.486,3.45,37.8,1.0011750000000001,0.08872500000000001,0.561708,0.050524000000000006,70.76190476190476,56.104876769795474,56.94449140602986
WIU,CR,1,6,15.2,14.789,1.44,41.7,6.3839999999999995,0.2964,6.167013,0.207046,97.296,96.60108082706768,69.8535762483131,2.3,1.971,4.09,48.1,1.045925,0.075325,0.948051,0.08081100000000001,85.69565217391305,90.64235007290198,107.28310653833388
WIU,CR,1,30,15.1,11.432,1.93,39.7,6.342,0.29445,4.5385040000000005,0.217208,75.709,71.56266162093978,73.76736287994567,2.1,1.293,NA,NA,0.954975,0.068775,NA,NA,61.57142857142857,NA,NA
WIU,CR,1,4,15.2,15.135000000000002,1.7,39.5,6.3839999999999995,0.2964,5.978325000000001,0.25729500000000005,99.572,93.64544172932334,86.80668016194333,2.3,1.972,4.88,46.3,1.045925,0.075325,0.9130360000000001,0.096628,85.73913043478262,87.2945956928078,128.28144706272818
