crop,location,emmean,SE,df,lower.CL,upper.CL,.group
PCRO,WIU,0.008673201257377715,0.0018535442648752272,27,0.003025071933020696,0.014321330581734733, a  
PCRO,ISU,0.011442534099822084,0.0018535442648752267,27,0.005794404775465066,0.0170906634241791, a  
CR,WIU,0.011499208191301067,0.0021415099522661407,27,0.004973588388738106,0.01802482799386403, ab 
CR,ISU,0.013900922636012877,0.0021415099522661403,27,0.007375302833449917,0.020426542438575838, abc
GPC,ISU,0.015657189655008646,0.0018535442648752285,27,0.010009060330651624,0.02130531897936567, abc
WPC,WIU,0.016414369454482845,0.0018535442648752272,27,0.010766240130125827,0.022062498778839864, abc
WPC,ISU,0.0210671468362907,0.0018535442648752267,27,0.01541901751193368,0.026715276160647717,  bc
AR,WIU,0.022304709066777593,0.0018535442648752267,27,0.016656579742420574,0.02795283839113461,   c
GPC,WIU,0.02271271331990958,0.0018535442648752267,27,0.017064583995552562,0.0283608426442666,   c
AR,ISU,0.022814062120046042,0.0018535442648752263,27,0.017165932795689027,0.028462191444403057,   c
