crop,block,location,term,estimate,std.error,statistic,p.value
AR,1,ISU,k,0.023765153360196346,0.001958708628440296,12.13307227789176,1.970966483826648e-6
AR,1,WIU,k,0.018282760318173365,0.0015656276805340037,11.677591387460323,2.637652245619324e-6
AR,2,ISU,k,0.02139775511715023,0.00367749372545798,5.818570122641186,6.510873260148907e-4
AR,2,WIU,k,0.013251082568643852,0.0018043826065616004,7.343831912620173,4.3558283936015465e-5
AR,3,ISU,k,0.021688566372956505,0.00231185224467195,9.381467359318242,6.072063396712537e-6
AR,3,WIU,k,0.008337245281840057,0.002872630884939054,2.902303016218159,0.019821586991334968
AR,4,ISU,k,0.018610267342857863,0.0022240595212526196,8.367702017424568,1.5430935478964674e-5
AR,4,WIU,k,0.006388703783815356,0.001780363986695304,3.588425643047303,0.005853162869522224
CR,1,ISU,k,0.021472633763256307,0.002123697967818673,10.110964030027125,3.263961686350628e-6
CR,1,WIU,k,0.023771550279112052,0.002288647748082235,10.386723032861367,2.6069203330025398e-6
CR,2,ISU,k,0.022991561029306138,0.0024907219047925334,9.23088241407715,6.936867888229014e-6
CR,2,WIU,k,0.024830915782795553,0.0017352780491159503,14.309473801876212,5.549940028833152e-7
CR,4,ISU,k,0.024096436302342542,0.002756078417767674,8.743015491503977,1.0814524964603828e-5
CR,4,WIU,k,0.02436256964461257,0.002444197058120942,9.967514511019871,3.676449287484189e-6
GPC,1,ISU,k,0.019363558363819335,0.002842436012039856,6.812311088728151,7.79654682189083e-5
GPC,1,WIU,k,0.012927431686299,0.0020919882940426586,6.179495230978281,1.6282935164956444e-4
GPC,2,ISU,k,0.01077190499976035,0.0022757436608147777,4.733356038835989,0.0010688499136216555
GPC,2,WIU,k,0.010383684289012207,0.002226040716542838,4.664642570032876,0.0016136948296719491
GPC,3,ISU,k,0.01894969874751347,0.0022573210683370514,8.394773350285321,1.503394893906786e-5
GPC,3,WIU,k,0.010391757110151572,0.0020639547847927575,5.034876338725129,7.046775478514375e-4
GPC,4,ISU,k,0.013680352344753432,0.002311937078094359,5.9172684561249485,2.242244985786728e-4
GPC,4,WIU,k,0.017106242256117232,0.002597521649849465,6.585601416299493,1.7195004547430944e-4
PCRO,1,ISU,k,0.012913271635501074,0.002865786508171249,4.5060131306645905,0.0014761385726969932
PCRO,1,WIU,k,0.018929242560030562,0.0021262538295007192,8.902625969391186,9.331872499208994e-6
PCRO,2,ISU,k,0.013683486782551062,0.0027988623927057464,4.888945886804679,0.0012105721425008395
PCRO,2,WIU,k,0.009330030203283985,0.0019283218286785043,4.8384196374927395,9.230465858527183e-4
PCRO,3,ISU,k,0.0178049810106607,0.0024905284709100285,7.149077482400687,5.371759499015664e-5
PCRO,3,WIU,k,0.01031931709905079,0.0032472168620782038,3.177895883567959,0.011222656700220351
PCRO,4,ISU,k,0.018683337479039667,0.002215657421659417,8.432412563602355,1.4500513204124474e-5
PCRO,4,WIU,k,0.013578908041154162,0.0018179741546798332,7.469252522759637,3.814003316605864e-5
WPC,1,ISU,k,0.013612379074875992,0.0017609222101033358,7.730255769831638,2.9082060809898716e-5
WPC,1,WIU,k,0.014710150424787719,0.0023772624605542894,6.187852905967252,2.628870694659652e-4
WPC,2,ISU,k,0.008473350505574356,0.0022099181976825213,3.8342371742357337,0.004001672876592453
WPC,2,WIU,k,0.0075091136488388294,0.0011694628902998488,6.420993527134069,2.0451145828186156e-4
WPC,3,ISU,k,0.012344733194236032,0.0015080731492811998,8.185765524782378,1.841732091733374e-5
WPC,3,WIU,k,0.011566571431222963,0.0010968837874952744,10.544937907811674,2.296793993509604e-6
WPC,4,ISU,k,0.015621015994569571,0.001968061601193205,7.9372596798285135,2.35706089926276e-5
WPC,4,WIU,k,0.012649941176924816,0.0014366956540491497,8.804885809511928,1.0211089031018205e-5
