crop,block,location,term,estimate,std.error,statistic,p.value
AR,1,ISU,k,0.022063001740458398,0.004148432445238539,5.3183948471384,7.124119601400402e-4
AR,1,WIU,k,0.022331615862696733,0.004005350131789514,5.575446622120747,5.250889168943434e-4
AR,2,ISU,k,0.025206396268541403,0.006469756137731243,3.896034986780902,0.0059290880962466356
AR,2,WIU,k,0.021250832856911768,0.0015564477186202849,13.653419001924199,2.54624939221238e-7
AR,3,ISU,k,0.017665419268382568,0.0028049703450813944,6.297898763656966,1.4133639382745027e-4
AR,3,WIU,k,0.023140682681503166,0.0031082552495491026,7.444910672912096,7.299792233962038e-5
AR,4,ISU,k,0.026307970882675367,0.005257106650590348,5.004268056787683,7.346766293006852e-4
AR,4,WIU,k,0.022482244545872304,0.005142924909202495,4.3714899483839815,0.001793194704072707
CR,1,ISU,k,0.014096050462535783,0.0015893230263574452,8.869216785238676,9.622666507204746e-6
CR,1,WIU,k,0.009979653922091013,0.003431339129881156,2.9083846114728558,0.017356826973852078
CR,2,ISU,k,0.011834476668214166,0.0025599226983758607,4.62298204384161,0.0012490516035680115
CR,2,WIU,k,0.014880252206104873,0.003621712520085783,4.10862323378235,0.0033970811371695844
CR,4,ISU,k,0.015826082057794403,0.0029117975596233536,5.435158775200545,4.135815429350347e-4
CR,4,WIU,k,0.00969155972621302,0.002893521048436361,3.3494001128660433,0.008531676122502644
GPC,1,ISU,k,0.015855517689112582,0.0016795426633903602,9.440378047382435,5.766648303768271e-6
GPC,1,WIU,k,0.01980171913375408,0.0032286095078577818,6.133203500008504,1.7217899272142982e-4
GPC,2,ISU,k,0.01771927755821075,0.002718685318663696,6.517590482638216,1.0919608592235776e-4
GPC,2,WIU,k,0.029096492832827326,0.0036481139114941568,7.975763240602946,4.4632231527300074e-5
GPC,3,ISU,k,0.015273933133668706,0.002332319396184937,6.548817095399908,1.0531511405075048e-4
GPC,3,WIU,k,0.019563619989230903,0.0035381791305621833,5.529290425191793,3.660681862849904e-4
GPC,4,ISU,k,0.013766569918916161,0.0015472629859186267,8.89736912483743,9.376980231507949e-6
GPC,4,WIU,k,0.022375561003699626,0.0040529857105223235,5.520759904385649,5.598808671374847e-4
PCRO,1,ISU,k,0.019429932158094926,0.004763301902100142,4.079088950781864,0.002761777957195194
PCRO,1,WIU,k,0.001376132069762327,0.0014621840408186478,0.9411483310896062,0.3712021106072556
PCRO,2,ISU,k,0.010764703822635517,0.0025807395833970506,4.171170114136755,0.0041830377225665185
PCRO,2,WIU,k,0.008548051746715444,0.0018470560576006399,4.627933035134582,0.0012403056727933205
PCRO,3,ISU,k,0.007936539166589178,9.943827875470677e-4,7.981372230071423,2.2550825972195238e-5
PCRO,3,WIU,k,0.015969637189802235,0.005657248568698611,2.822862915757629,0.022394931361081442
PCRO,4,ISU,k,0.007625500931842324,0.00316401684025068,2.4100696414871696,0.03924453968184111
PCRO,4,WIU,k,0.008785523703104462,0.003764847035417063,2.3335672393742333,0.04448649342361753
WPC,1,ISU,k,0.02202156235791392,0.004004193321553131,5.499625165293538,3.803704345339479e-4
WPC,1,WIU,k,0.01546051685935681,0.00530746034977093,2.9129783060977714,0.01949990498532005
WPC,2,ISU,k,0.019660264668925252,0.0027650752190503205,7.110209709115137,5.6040781216278176e-5
WPC,2,WIU,k,0.01939400452914243,0.0038413847588943196,5.04870137890709,9.908504273167236e-4
WPC,3,ISU,k,0.018872805429714545,0.0022434108024903224,8.412549947947378,1.477937359433292e-5
WPC,3,WIU,k,0.017463309511600196,0.003446743251391903,5.06661164986628,6.749628081120847e-4
WPC,4,ISU,k,0.023700494568482677,0.0018095277239332304,13.09761340211287,3.641341811843074e-7
WPC,4,WIU,k,0.013326186597705545,0.0018096444076683652,7.363980758449478,4.263376027820083e-5
