location,crop.x,bag_no,block.x,sample_time,series_no,tea_id,old_tea_id,tea_final_drywt_g,crop.y,block.y,number,tea_initial_drywt_g,notes
wiu,pcro,1,1,t4,1,1,1,1.365,pcro,1,1,2,NA
wiu,pcro,2,1,t0,2,5,5,2.033,pcro,1,5,2.1,NA
wiu,pcro,3,1,t2,3,3,3,1.928,pcro,1,3,2.1,NA
wiu,pcro,4,1,t7,4,NA,NA,1.082,NA,NA,NA,NA,NA
wiu,pcro,5,1,t6,5,2,2,1.278,pcro,1,2,2.1,NA
wiu,pcro,6,1,t5,6,6,6,1.514,pcro,1,6,2.1,NA
wiu,pcro,7,1,t8,7,7,7,1.449,pcro,1,7,2.1,NA
wiu,pcro,8,1,t1,8,8,8,1.963,pcro,1,8,2.1,NA
wiu,pcro,9,1,t3,9,9,9,1.685,pcro,1,9,2.1,NA
wiu,pcro,10,1,t9,10,10,10,1.287,pcro,1,10,2.1,NA
wiu,wpc,11,1,t9,1,24,NA,NA,wpc,1,4,2.2,NA
wiu,wpc,12,1,t5,2,30,30,1.987,wpc,1,10,2.1,NA
wiu,wpc,13,1,t7,3,28,NA,NA,wpc,1,8,2.2,NA
wiu,wpc,14,1,t6,4,21,21,1.495,wpc,1,1,2.3,NA
wiu,wpc,15,1,t8,5,92,26,1.552,ar,2,2,2.2,NA
wiu,wpc,16,1,t2,6,NA,22,1.863,NA,NA,NA,NA,NA
wiu,wpc,17,1,t1,7,25,25,1.995,wpc,1,5,2.1,NA
wiu,wpc,18,1,t4,8,29,29,1.701,wpc,1,9,2.2,NA
wiu,wpc,19,1,t3,9,NA,21,1.864,NA,NA,NA,NA,NA
wiu,wpc,20,1,t0,10,23,23,2.008,wpc,1,3,2.1,NA
wiu,gpc,21,1,t1,1,50,50,1.874,gpc,1,10,1.9,NA
wiu,gpc,22,1,t9,2,49,49,1.389,gpc,1,9,2.1,NA
wiu,gpc,23,1,t2,3,43,43,1.837,gpc,1,3,2.3,NA
wiu,gpc,24,1,t6,4,42,42,1.503,gpc,1,2,2.1,NA
wiu,gpc,25,1,t8,5,45,45,1.723,gpc,1,5,2.4,NA
wiu,gpc,26,1,t3,6,48,48,1.978,gpc,1,8,2.3,NA
wiu,gpc,27,1,t5,7,46,46,2.142,gpc,1,6,2.2,NA
wiu,gpc,28,1,t4,8,41,41,1.579,gpc,1,1,2.2,NA
wiu,gpc,29,1,t0,9,4,44,2.216,pcro,1,4,2,NA
wiu,gpc,30,1,t7,10,47,47,1.486,gpc,1,7,2.1,NA
wiu,cr,31,1,t2,1,39,39,1.971,cr,1,9,2.3,NA
wiu,cr,32,1,t8,2,NA,31,1.293,NA,NA,NA,NA,NA
wiu,cr,33,1,t1,3,31,40,1.972,cr,1,1,2.3,NA
wiu,cr,34,1,t4,4,36,36,1.462,cr,1,6,2.2,NA
wiu,cr,35,1,t3,5,32,32,1.598,cr,1,2,2.2,NA
wiu,cr,36,1,t9,6,33,33,1.208,cr,1,3,2.3,NA
wiu,cr,37,1,t0,7,37,37,1.993,cr,1,7,2,NA
wiu,cr,38,1,NA,8,38,NA,NA,cr,1,8,2.1,NA
wiu,cr,39,1,t7,9,34,34,1.171,cr,1,4,2.2,NA
wiu,cr,40,1,t6,10,35,35,NA,cr,1,5,2.1,NA
wiu,ar,41,1,t4,1,19,19,1.653,ar,1,9,2.3,NA
wiu,ar,42,1,t8,2,81,81,1.338,wpc,2,1,2.3,NA
wiu,ar,43,1,t2,3,11,11,1.894,ar,1,1,2.1,NA
wiu,ar,44,1,t1,4,12,12,1.981,ar,1,2,2,NA
wiu,ar,45,1,t0,5,530,NA,2.017,NA,NA,NA,NA,NA
wiu,ar,46,1,t9,6,524,NA,NA,NA,NA,NA,NA,NA
wiu,ar,47,1,t3,7,17,17,2.032,ar,1,7,2.4,NA
wiu,ar,48,1,t7,8,13,13,1.355,ar,1,3,2,NA
wiu,ar,49,1,t6,9,16,16,1.56,ar,1,6,2.2,NA
wiu,ar,50,1,t5,10,NA,51,1.513,NA,NA,NA,NA,NA
wiu,wpc,51,2,t8,1,83,83,1.875,wpc,2,3,2.3,NA
wiu,wpc,52,2,t2,2,22,22,1.856,wpc,1,2,2.1,NA
wiu,wpc,53,2,t4,3,58,85,2.02,gpc,2,8,2.1,NA
wiu,wpc,54,2,t6,4,68,68,1.961,cr,2,8,2.1,NA
wiu,wpc,55,2,t0,5,86,86,2.031,wpc,2,6,2.1,NA
wiu,wpc,56,2,t1,6,88,88,2.188,wpc,2,8,2.3,NA
wiu,wpc,57,2,t3,7,87,87,2.241,wpc,2,7,2.2,NA
wiu,wpc,58,2,t7,8,84,84,1.544,wpc,2,4,2,NA
wiu,wpc,59,2,NA,9,NA,NA,NA,NA,NA,NA,NA,NA
wiu,wpc,60,2,t9,10,40,NA,NA,cr,1,10,2,NA
wiu,cr,61,2,t4,1,69,69,1.388,cr,2,9,2.1,NA
wiu,cr,62,2,t9,2,NA,NA,NA,NA,NA,NA,NA,NA
wiu,cr,63,2,t0,3,70,70,2.117,cr,2,10,2.1,NA
wiu,cr,64,2,t1,4,62,29,1.971,cr,2,2,2.1,NA
wiu,cr,65,2,t2,5,63,63,2.095,cr,2,3,2.4,NA
wiu,cr,66,2,t7,6,64,64,1.298,cr,2,4,2.4,NA
wiu,cr,67,2,t5,7,NA,61,1.218,NA,NA,NA,NA,NA
wiu,cr,68,2,t3,8,68,89,1.834,cr,2,8,2.1,NA
wiu,cr,69,2,t8,9,67,67,1.205,cr,2,7,2.2,NA
wiu,cr,70,2,t6,10,NA,59,1.149,NA,NA,NA,NA,NA
wiu,pcro,71,2,t8,1,72,72,1.572,pcro,2,2,2.2,NA
wiu,pcro,72,2,t5,2,76,76,1.879,pcro,2,6,2.3,NA
wiu,pcro,73,2,t4,3,73,31,1.7,pcro,2,3,2.1,NA
wiu,pcro,74,2,t9,4,74,74,1.971,pcro,2,4,2.2,NA
wiu,pcro,75,2,t1,5,75,69,1.979,pcro,2,5,2.1,NA
wiu,pcro,76,2,t7,6,71,71,1.681,pcro,2,1,2.1,NA
wiu,pcro,77,2,t0,7,77,77,2.067,pcro,2,7,2.1,NA
wiu,pcro,78,2,t6,8,80,80,1.474,pcro,2,10,2.2,NA
wiu,pcro,79,2,t3,9,79,75,1.993,pcro,2,9,2.1,NA
wiu,pcro,80,2,t2,10,78,78,2.155,pcro,2,8,2.1,NA
wiu,gpc,81,2,t5,1,85,85,2.726,wpc,2,5,2.2,NA
wiu,gpc,82,2,t4,2,55,55,1.63,gpc,2,5,2.2,NA
wiu,gpc,83,2,t8,3,57,57,1.572,gpc,2,7,2.2,NA
wiu,gpc,84,2,t6,4,60,60,1.765,gpc,2,10,2.1,NA
wiu,gpc,85,2,t9,5,52,25,NA,gpc,2,2,2.1,NA
wiu,gpc,86,2,t1,6,NA,55,2.141,NA,NA,NA,NA,NA
wiu,gpc,87,2,t0,7,59,59,2.046,gpc,2,9,2.1,NA
wiu,gpc,88,2,t3,8,51,51,1.641,gpc,2,1,2.1,NA
wiu,gpc,89,2,t2,9,54,54,1.976,gpc,2,4,2.1,NA
wiu,gpc,90,2,t7,10,53,53,1.766,gpc,2,3,2.2,NA
wiu,ar,91,2,t5,1,96,96,1.554,ar,2,6,2.1,NA
wiu,ar,92,2,t6,2,98,98,1.455,ar,2,8,2.2,NA
wiu,ar,93,2,t9,3,93,93,1.534,ar,2,3,2.2,NA
wiu,ar,94,2,NA,4,97,NA,NA,ar,2,7,2.1,NA
wiu,ar,95,2,t0,5,99,99,2.109,ar,2,9,2.2,NA
wiu,ar,96,2,t2,6,529,92,1.959,NA,NA,NA,NA,NA
wiu,ar,97,2,t3,7,NA,74,2.137,NA,NA,NA,NA,NA
wiu,ar,98,2,t1,8,91,91,2.11,ar,2,1,2.2,NA
wiu,ar,99,2,t4,9,100,100,1.703,ar,2,10,2.3,NA
wiu,ar,100,2,NA,10,95,75,1.563,ar,2,5,2.1,NA
wiu,gpc,101,3,t2,1,105,103,2.01,gpc,3,5,2.3,NA
wiu,gpc,102,3,t7,2,108,108,NA,gpc,3,8,2.1,NA
wiu,gpc,103,3,t4,3,109,109,1.826,gpc,3,9,2.3,NA
wiu,gpc,104,3,t3,4,102,102,1.947,gpc,3,2,2.2,NA
wiu,gpc,105,3,t5,5,197,107,2.292,gpc,4,7,2.3,NA
wiu,gpc,106,3,t8,6,116,116,1.763,wpc,3,6,2.2,NA
